
================ Toxicity Prediction Run ================
inputFile               : combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/combinedEbolaVirus_bestMACAW_allDB/combinedEbolaVirusData_InosineSimilarstructures_DORAnetGenerated_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (1989633, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 185 | processed unique SMILES: 185000/1989633 | new selected: 194 | total selected: 44017
Diversity chunk 186 | processed unique SMILES: 186000/1989633 | new selected: 104 | total selected: 44121
Diversity chunk 187 | processed unique SMILES: 187000/1989633 | new selected: 41 | total selected: 44162
Diversity chunk 188 | processed unique SMILES: 188000/1989633 | new selected: 0 | total selected: 44162
Diversity chunk 189 | processed unique SMILES: 189000/1989633 | new selected: 94 | total selected: 44256
Diversity chunk 190 | processed unique SMILES: 190000/1989633 | new selected: 159 | total selected: 44415
Diversity chunk 191 | processed unique SMILES: 191000/1989633 | new selected: 106 | total selected: 44521
Diversity chunk 192 | processed unique SMILES: 192000/1989633 | new selected: 135 | total selected: 44656
Diversity chunk 193 | processed unique SMILES: 193000/1989633 | new selected: 0 | total selected: 44656
Diversity chunk 194 | processed unique SMILES: 194000/1989633 | new selected: 0 | total selected: 44656
Diversity chunk 195 | processed unique SMILES: 195000/1989633 | new selected: 0 | total selected: 44656
Diversity chunk 196 | processed unique SMILES: 196000/1989633 | new selected: 63 | total selected: 44719
Diversity chunk 197 | processed unique SMILES: 197000/1989633 | new selected: 284 | total selected: 45003
Diversity chunk 198 | processed unique SMILES: 198000/1989633 | new selected: 246 | total selected: 45249
Diversity chunk 199 | processed unique SMILES: 199000/1989633 | new selected: 29 | total selected: 45278
Diversity chunk 200 | processed unique SMILES: 200000/1989633 | new selected: 633 | total selected: 45911
Diversity chunk 201 | processed unique SMILES: 201000/1989633 | new selected: 457 | total selected: 46368
Diversity chunk 202 | processed unique SMILES: 202000/1989633 | new selected: 393 | total selected: 46761
Diversity chunk 203 | processed unique SMILES: 203000/1989633 | new selected: 455 | total selected: 47216
Diversity chunk 204 | processed unique SMILES: 204000/1989633 | new selected: 292 | total selected: 47508
Diversity chunk 205 | processed unique SMILES: 205000/1989633 | new selected: 472 | total selected: 47980
Diversity chunk 206 | processed unique SMILES: 206000/1989633 | new selected: 343 | total selected: 48323
Diversity chunk 207 | processed unique SMILES: 207000/1989633 | new selected: 299 | total selected: 48622
Diversity chunk 208 | processed unique SMILES: 208000/1989633 | new selected: 253 | total selected: 48875
Diversity chunk 209 | processed unique SMILES: 209000/1989633 | new selected: 410 | total selected: 49285
Diversity chunk 210 | processed unique SMILES: 210000/1989633 | new selected: 79 | total selected: 49364
Diversity chunk 211 | processed unique SMILES: 211000/1989633 | new selected: 243 | total selected: 49607
Diversity chunk 212 | processed unique SMILES: 212000/1989633 | new selected: 500 | total selected: 50107
Diversity chunk 213 | processed unique SMILES: 213000/1989633 | new selected: 295 | total selected: 50402
Diversity chunk 214 | processed unique SMILES: 214000/1989633 | new selected: 444 | total selected: 50846
Diversity chunk 215 | processed unique SMILES: 215000/1989633 | new selected: 376 | total selected: 51222
Diversity chunk 216 | processed unique SMILES: 216000/1989633 | new selected: 241 | total selected: 51463
Diversity chunk 217 | processed unique SMILES: 217000/1989633 | new selected: 236 | total selected: 51699
Diversity chunk 218 | processed unique SMILES: 218000/1989633 | new selected: 266 | total selected: 51965
Diversity chunk 219 | processed unique SMILES: 219000/1989633 | new selected: 270 | total selected: 52235
Diversity chunk 220 | processed unique SMILES: 220000/1989633 | new selected: 113 | total selected: 52348
Diversity chunk 221 | processed unique SMILES: 221000/1989633 | new selected: 7 | total selected: 52355
Diversity chunk 222 | processed unique SMILES: 222000/1989633 | new selected: 129 | total selected: 52484
Diversity chunk 223 | processed unique SMILES: 223000/1989633 | new selected: 262 | total selected: 52746
Diversity chunk 224 | processed unique SMILES: 224000/1989633 | new selected: 142 | total selected: 52888
Diversity chunk 225 | processed unique SMILES: 225000/1989633 | new selected: 44 | total selected: 52932
Diversity chunk 226 | processed unique SMILES: 226000/1989633 | new selected: 15 | total selected: 52947
