
================ Toxicity Prediction Run ================
inputFile               : BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
ARTresultsDir           : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/
Input CSV               : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction.csv
Output CSV              : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity.csv
Checkpoint CSV          : /mnt/data.ese/nfs/users/sghosh6/DTRA_project/MACAW/DrugDesignData/Results/Bacillus_anthracis_bestMACAW_allDB/BacillusAnthracis_BasidalinPrecursorDORAnetGenerated_Antibiotic_ARTprediction_wToxicity_checkpoint.csv
selectSMILES            : None
batchSize               : 500
saveEveryBatch          : True
resumeFromCheckpoint    : True
deduplicateSmiles       : True
enableDiversityFilter   : True
similarityThreshold     : 0.75
fingerprintRadius       : 2
fingerprintBits         : 2048
diversityChunkSize      : 1000
saveDiversityFiltered   : True
useCanonicalFiltering   : True
=========================================================

Loaded input dataframe shape: (651810, 8)

Applying chemical diversity filter before ADMET prediction...
Diversity chunk 79 | processed unique SMILES: 79000/651810 | new selected: 0 | total selected: 26989
Diversity chunk 80 | processed unique SMILES: 80000/651810 | new selected: 437 | total selected: 27426
Diversity chunk 81 | processed unique SMILES: 81000/651810 | new selected: 364 | total selected: 27790
Diversity chunk 82 | processed unique SMILES: 82000/651810 | new selected: 56 | total selected: 27846
Diversity chunk 83 | processed unique SMILES: 83000/651810 | new selected: 291 | total selected: 28137
Diversity chunk 84 | processed unique SMILES: 84000/651810 | new selected: 516 | total selected: 28653
Diversity chunk 85 | processed unique SMILES: 85000/651810 | new selected: 65 | total selected: 28718
Diversity chunk 86 | processed unique SMILES: 86000/651810 | new selected: 146 | total selected: 28864
Diversity chunk 87 | processed unique SMILES: 87000/651810 | new selected: 275 | total selected: 29139
Diversity chunk 88 | processed unique SMILES: 88000/651810 | new selected: 0 | total selected: 29139
Diversity chunk 89 | processed unique SMILES: 89000/651810 | new selected: 0 | total selected: 29139
Diversity chunk 90 | processed unique SMILES: 90000/651810 | new selected: 0 | total selected: 29139
Diversity chunk 91 | processed unique SMILES: 91000/651810 | new selected: 266 | total selected: 29405
Diversity chunk 92 | processed unique SMILES: 92000/651810 | new selected: 492 | total selected: 29897
Diversity chunk 93 | processed unique SMILES: 93000/651810 | new selected: 524 | total selected: 30421
Diversity chunk 94 | processed unique SMILES: 94000/651810 | new selected: 164 | total selected: 30585
Diversity chunk 95 | processed unique SMILES: 95000/651810 | new selected: 379 | total selected: 30964
Diversity chunk 96 | processed unique SMILES: 96000/651810 | new selected: 6 | total selected: 30970
Diversity chunk 97 | processed unique SMILES: 97000/651810 | new selected: 187 | total selected: 31157
Diversity chunk 98 | processed unique SMILES: 98000/651810 | new selected: 620 | total selected: 31777
Diversity chunk 99 | processed unique SMILES: 99000/651810 | new selected: 446 | total selected: 32223
Diversity chunk 100 | processed unique SMILES: 100000/651810 | new selected: 508 | total selected: 32731
Diversity chunk 101 | processed unique SMILES: 101000/651810 | new selected: 535 | total selected: 33266
Diversity chunk 102 | processed unique SMILES: 102000/651810 | new selected: 43 | total selected: 33309
Diversity chunk 103 | processed unique SMILES: 103000/651810 | new selected: 0 | total selected: 33309
Diversity chunk 104 | processed unique SMILES: 104000/651810 | new selected: 477 | total selected: 33786
Diversity chunk 105 | processed unique SMILES: 105000/651810 | new selected: 326 | total selected: 34112
Diversity chunk 106 | processed unique SMILES: 106000/651810 | new selected: 338 | total selected: 34450
Diversity chunk 107 | processed unique SMILES: 107000/651810 | new selected: 542 | total selected: 34992
Diversity chunk 108 | processed unique SMILES: 108000/651810 | new selected: 340 | total selected: 35332
Diversity chunk 109 | processed unique SMILES: 109000/651810 | new selected: 302 | total selected: 35634
Diversity chunk 110 | processed unique SMILES: 110000/651810 | new selected: 299 | total selected: 35933
Diversity chunk 111 | processed unique SMILES: 111000/651810 | new selected: 260 | total selected: 36193
Diversity chunk 112 | processed unique SMILES: 112000/651810 | new selected: 463 | total selected: 36656
Diversity chunk 113 | processed unique SMILES: 113000/651810 | new selected: 17 | total selected: 36673
Diversity chunk 114 | processed unique SMILES: 114000/651810 | new selected: 28 | total selected: 36701
Diversity chunk 115 | processed unique SMILES: 115000/651810 | new selected: 164 | total selected: 36865
Diversity chunk 116 | processed unique SMILES: 116000/651810 | new selected: 0 | total selected: 36865
Diversity chunk 117 | processed unique SMILES: 117000/651810 | new selected: 381 | total selected: 37246
Diversity chunk 118 | processed unique SMILES: 118000/651810 | new selected: 513 | total selected: 37759
Diversity chunk 119 | processed unique SMILES: 119000/651810 | new selected: 236 | total selected: 37995
Diversity chunk 120 | processed unique SMILES: 120000/651810 | new selected: 0 | total selected: 37995
Diversity chunk 121 | processed unique SMILES: 121000/651810 | new selected: 404 | total selected: 38399
Diversity chunk 122 | processed unique SMILES: 122000/651810 | new selected: 578 | total selected: 38977
Diversity chunk 123 | processed unique SMILES: 123000/651810 | new selected: 346 | total selected: 39323
Diversity chunk 124 | processed unique SMILES: 124000/651810 | new selected: 0 | total selected: 39323
Diversity chunk 125 | processed unique SMILES: 125000/651810 | new selected: 173 | total selected: 39496
Diversity chunk 126 | processed unique SMILES: 126000/651810 | new selected: 333 | total selected: 39829
Diversity chunk 127 | processed unique SMILES: 127000/651810 | new selected: 98 | total selected: 39927
Diversity chunk 128 | processed unique SMILES: 128000/651810 | new selected: 0 | total selected: 39927
Diversity chunk 129 | processed unique SMILES: 129000/651810 | new selected: 0 | total selected: 39927
Diversity chunk 130 | processed unique SMILES: 130000/651810 | new selected: 0 | total selected: 39927
Diversity chunk 131 | processed unique SMILES: 131000/651810 | new selected: 343 | total selected: 40270
Diversity chunk 132 | processed unique SMILES: 132000/651810 | new selected: 132 | total selected: 40402
Diversity chunk 133 | processed unique SMILES: 133000/651810 | new selected: 605 | total selected: 41007
Diversity chunk 134 | processed unique SMILES: 134000/651810 | new selected: 553 | total selected: 41560
Diversity chunk 135 | processed unique SMILES: 135000/651810 | new selected: 349 | total selected: 41909
Diversity chunk 136 | processed unique SMILES: 136000/651810 | new selected: 262 | total selected: 42171
Diversity chunk 137 | processed unique SMILES: 137000/651810 | new selected: 368 | total selected: 42539
Diversity chunk 138 | processed unique SMILES: 138000/651810 | new selected: 187 | total selected: 42726
Diversity chunk 139 | processed unique SMILES: 139000/651810 | new selected: 32 | total selected: 42758
Diversity chunk 140 | processed unique SMILES: 140000/651810 | new selected: 106 | total selected: 42864
Diversity chunk 141 | processed unique SMILES: 141000/651810 | new selected: 188 | total selected: 43052
Diversity chunk 142 | processed unique SMILES: 142000/651810 | new selected: 503 | total selected: 43555
Diversity chunk 143 | processed unique SMILES: 143000/651810 | new selected: 793 | total selected: 44348
Diversity chunk 144 | processed unique SMILES: 144000/651810 | new selected: 720 | total selected: 45068
Diversity chunk 145 | processed unique SMILES: 145000/651810 | new selected: 683 | total selected: 45751
Diversity chunk 146 | processed unique SMILES: 146000/651810 | new selected: 621 | total selected: 46372
Diversity chunk 147 | processed unique SMILES: 147000/651810 | new selected: 703 | total selected: 47075
Diversity chunk 148 | processed unique SMILES: 148000/651810 | new selected: 793 | total selected: 47868
Diversity chunk 149 | processed unique SMILES: 149000/651810 | new selected: 697 | total selected: 48565
Diversity chunk 150 | processed unique SMILES: 150000/651810 | new selected: 544 | total selected: 49109
Diversity chunk 151 | processed unique SMILES: 151000/651810 | new selected: 693 | total selected: 49802
Diversity chunk 152 | processed unique SMILES: 152000/651810 | new selected: 329 | total selected: 50131
Diversity chunk 153 | processed unique SMILES: 153000/651810 | new selected: 0 | total selected: 50131
Diversity chunk 154 | processed unique SMILES: 154000/651810 | new selected: 0 | total selected: 50131
Diversity chunk 155 | processed unique SMILES: 155000/651810 | new selected: 18 | total selected: 50149
Diversity chunk 156 | processed unique SMILES: 156000/651810 | new selected: 664 | total selected: 50813
Diversity chunk 157 | processed unique SMILES: 157000/651810 | new selected: 561 | total selected: 51374
Diversity chunk 158 | processed unique SMILES: 158000/651810 | new selected: 553 | total selected: 51927
Diversity chunk 159 | processed unique SMILES: 159000/651810 | new selected: 480 | total selected: 52407
Diversity chunk 160 | processed unique SMILES: 160000/651810 | new selected: 352 | total selected: 52759
Diversity chunk 161 | processed unique SMILES: 161000/651810 | new selected: 75 | total selected: 52834
Diversity chunk 162 | processed unique SMILES: 162000/651810 | new selected: 24 | total selected: 52858
Diversity chunk 163 | processed unique SMILES: 163000/651810 | new selected: 581 | total selected: 53439
Diversity chunk 164 | processed unique SMILES: 164000/651810 | new selected: 509 | total selected: 53948
Diversity chunk 165 | processed unique SMILES: 165000/651810 | new selected: 407 | total selected: 54355
Diversity chunk 166 | processed unique SMILES: 166000/651810 | new selected: 596 | total selected: 54951
Diversity chunk 167 | processed unique SMILES: 167000/651810 | new selected: 484 | total selected: 55435
Diversity chunk 168 | processed unique SMILES: 168000/651810 | new selected: 130 | total selected: 55565
Diversity chunk 169 | processed unique SMILES: 169000/651810 | new selected: 567 | total selected: 56132
Diversity chunk 170 | processed unique SMILES: 170000/651810 | new selected: 303 | total selected: 56435
Diversity chunk 171 | processed unique SMILES: 171000/651810 | new selected: 0 | total selected: 56435
Diversity chunk 172 | processed unique SMILES: 172000/651810 | new selected: 0 | total selected: 56435
Diversity chunk 173 | processed unique SMILES: 173000/651810 | new selected: 0 | total selected: 56435
Diversity chunk 174 | processed unique SMILES: 174000/651810 | new selected: 0 | total selected: 56435
Diversity chunk 175 | processed unique SMILES: 175000/651810 | new selected: 1 | total selected: 56436
Diversity chunk 176 | processed unique SMILES: 176000/651810 | new selected: 0 | total selected: 56436
Diversity chunk 177 | processed unique SMILES: 177000/651810 | new selected: 0 | total selected: 56436
Diversity chunk 178 | processed unique SMILES: 178000/651810 | new selected: 361 | total selected: 56797
Diversity chunk 179 | processed unique SMILES: 179000/651810 | new selected: 717 | total selected: 57514
Diversity chunk 180 | processed unique SMILES: 180000/651810 | new selected: 174 | total selected: 57688
Diversity chunk 181 | processed unique SMILES: 181000/651810 | new selected: 480 | total selected: 58168
Diversity chunk 182 | processed unique SMILES: 182000/651810 | new selected: 673 | total selected: 58841
Diversity chunk 183 | processed unique SMILES: 183000/651810 | new selected: 573 | total selected: 59414
Diversity chunk 184 | processed unique SMILES: 184000/651810 | new selected: 0 | total selected: 59414
Diversity chunk 185 | processed unique SMILES: 185000/651810 | new selected: 0 | total selected: 59414
Diversity chunk 186 | processed unique SMILES: 186000/651810 | new selected: 0 | total selected: 59414
Diversity chunk 187 | processed unique SMILES: 187000/651810 | new selected: 85 | total selected: 59499
Diversity chunk 188 | processed unique SMILES: 188000/651810 | new selected: 672 | total selected: 60171
Diversity chunk 189 | processed unique SMILES: 189000/651810 | new selected: 250 | total selected: 60421
Diversity chunk 190 | processed unique SMILES: 190000/651810 | new selected: 818 | total selected: 61239
Diversity chunk 191 | processed unique SMILES: 191000/651810 | new selected: 635 | total selected: 61874
Diversity chunk 192 | processed unique SMILES: 192000/651810 | new selected: 14 | total selected: 61888
Diversity chunk 193 | processed unique SMILES: 193000/651810 | new selected: 381 | total selected: 62269
Diversity chunk 194 | processed unique SMILES: 194000/651810 | new selected: 0 | total selected: 62269
Diversity chunk 195 | processed unique SMILES: 195000/651810 | new selected: 479 | total selected: 62748
Diversity chunk 196 | processed unique SMILES: 196000/651810 | new selected: 0 | total selected: 62748
Diversity chunk 197 | processed unique SMILES: 197000/651810 | new selected: 84 | total selected: 62832
Diversity chunk 198 | processed unique SMILES: 198000/651810 | new selected: 526 | total selected: 63358
Diversity chunk 199 | processed unique SMILES: 199000/651810 | new selected: 95 | total selected: 63453
Diversity chunk 200 | processed unique SMILES: 200000/651810 | new selected: 165 | total selected: 63618
Diversity chunk 201 | processed unique SMILES: 201000/651810 | new selected: 702 | total selected: 64320
Diversity chunk 202 | processed unique SMILES: 202000/651810 | new selected: 457 | total selected: 64777
Diversity chunk 203 | processed unique SMILES: 203000/651810 | new selected: 344 | total selected: 65121
Diversity chunk 204 | processed unique SMILES: 204000/651810 | new selected: 319 | total selected: 65440
Diversity chunk 205 | processed unique SMILES: 205000/651810 | new selected: 335 | total selected: 65775
Diversity chunk 206 | processed unique SMILES: 206000/651810 | new selected: 341 | total selected: 66116
Diversity chunk 207 | processed unique SMILES: 207000/651810 | new selected: 267 | total selected: 66383
Diversity chunk 208 | processed unique SMILES: 208000/651810 | new selected: 145 | total selected: 66528
Diversity chunk 209 | processed unique SMILES: 209000/651810 | new selected: 0 | total selected: 66528
Diversity chunk 210 | processed unique SMILES: 210000/651810 | new selected: 0 | total selected: 66528
Diversity chunk 211 | processed unique SMILES: 211000/651810 | new selected: 191 | total selected: 66719
Diversity chunk 212 | processed unique SMILES: 212000/651810 | new selected: 297 | total selected: 67016
Diversity chunk 213 | processed unique SMILES: 213000/651810 | new selected: 266 | total selected: 67282
Diversity chunk 214 | processed unique SMILES: 214000/651810 | new selected: 187 | total selected: 67469
Diversity chunk 215 | processed unique SMILES: 215000/651810 | new selected: 69 | total selected: 67538
Diversity chunk 216 | processed unique SMILES: 216000/651810 | new selected: 85 | total selected: 67623
Diversity chunk 217 | processed unique SMILES: 217000/651810 | new selected: 229 | total selected: 67852
Diversity chunk 218 | processed unique SMILES: 218000/651810 | new selected: 296 | total selected: 68148
Diversity chunk 219 | processed unique SMILES: 219000/651810 | new selected: 261 | total selected: 68409
Diversity chunk 220 | processed unique SMILES: 220000/651810 | new selected: 238 | total selected: 68647
Diversity chunk 221 | processed unique SMILES: 221000/651810 | new selected: 139 | total selected: 68786
Diversity chunk 222 | processed unique SMILES: 222000/651810 | new selected: 129 | total selected: 68915
Diversity chunk 223 | processed unique SMILES: 223000/651810 | new selected: 0 | total selected: 68915
Diversity chunk 224 | processed unique SMILES: 224000/651810 | new selected: 0 | total selected: 68915
Diversity chunk 225 | processed unique SMILES: 225000/651810 | new selected: 0 | total selected: 68915
Diversity chunk 226 | processed unique SMILES: 226000/651810 | new selected: 0 | total selected: 68915
Diversity chunk 227 | processed unique SMILES: 227000/651810 | new selected: 61 | total selected: 68976
Diversity chunk 228 | processed unique SMILES: 228000/651810 | new selected: 205 | total selected: 69181
Diversity chunk 229 | processed unique SMILES: 229000/651810 | new selected: 292 | total selected: 69473
Diversity chunk 230 | processed unique SMILES: 230000/651810 | new selected: 16 | total selected: 69489
Diversity chunk 231 | processed unique SMILES: 231000/651810 | new selected: 279 | total selected: 69768
Diversity chunk 232 | processed unique SMILES: 232000/651810 | new selected: 166 | total selected: 69934
Diversity chunk 233 | processed unique SMILES: 233000/651810 | new selected: 267 | total selected: 70201
